Feature1,Feature2,Class
0.27661747271210513,0.8474050221235336,0
0.8379068127875962,0.7703143936394924,1
0.29398614554576985,0.49175411301147387,0
0.021165763413115712,0.7178040011146908,1
0.30320855683465164,0.3404494694553124,1
0.9848789466499032,0.8866142441164598,0
0.8033279586051467,0.8219652769410225,1
0.21091925563130076,0.5226116247953603,0
0.7892031441982955,0.830490172080909,1
0.6365292414528967,0.9418269428023375,1
0.6705058684268147,0.4542180803942153,1
0.8218029729709688,0.5279507049964832,0
0.9816847938499195,0.7969223670590363,0
0.11866430985683485,0.4422409547878907,1
0.8709458297295974,0.47474399236085785,0
0.7371431504631302,0.5008434432861898,1
0.7366583991006527,0.10733404299987237,1
0.8572801077441052,0.6770806670447107,0
0.6004825292703876,0.10734319455625474,1
0.5125286208398415,0.28172526803993625,1
0.8811367165932062,0.14181382443274115,0
0.11913846685930196,0.623253271121429,1
0.3763223313251428,0.2649466418709402,1
0.9831451090592613,0.7032126309641026,1
0.5755592245771386,0.9468608065574625,0
0.21553588046764582,0.6638047932102352,1
0.5284866534283789,0.501328336510357,1
0.4227587138512042,0.2062924619304295,0
0.5145731141921642,0.1751633792228533,1
0.5565874666615115,0.051308340229390126,0
0.28172336967799905,0.037250428834090465,1
0.36487435554906,0.24133840460807565,0
0.3031046175821369,0.7214850680456791,1
0.20518530393678436,0.15158281918874705,1
0.1906445390478715,0.8588466320468174,0
0.012220447933228407,0.27591937859688376,1
0.42355319393759383,0.19513764452537463,0
0.7963038015747406,0.23156652167875313,1
0.9583900253087089,0.2636138696618803,1
0.4298038642028347,0.025470654003718285,0
0.41760473194552894,0.6798980427461588,0
0.32370047447436845,0.6964475666484953,1
0.6226662750304796,0.7112050275547898,1
0.06870410353302248,0.1991359317347463,0
0.6275825938958718,0.8490455051481066,1
0.6765669699706849,0.197761264336887,1
0.47599495015179516,0.9821427875069284,1
0.2851720733357517,0.11650150842001561,1
0.04301630458115202,0.5202652152592592,0
0.8009809554024678,0.583746236239523,0
